RIVER	ERECTED	PURPOSE	LENGTH	LANES	CLEAR-G	T-OR-D	MATERIAL	SPAN	REL-L	TYPE
2	1891.0	3	1350.0	2.0	2	1	3	2	1	3
1	1892.0	4		2.0	2	1	3	2	3	3
1	1892.0	2	1092.0	1.0	1	1	1	1	1	1
2	1893.0	4		2.0	2	1	3	2	3	3
2	1894.0	4		2.0	2	1	2	2	3	3
2	1895.0	4	2367.0	2.0	2	1	3	3	3	3
3	1896.0	4		2.0	2	1	3	3	3	2
2	1896.0	4	1040.0	2.0	2	1	3	3	3	4
1	1897.0	3	4000.0	2.0	2	2	3	3	3	3
2	1897.0	3	2264.0		2	1	3		3	3
2	1898.0	3	2000.0	2.0	2	1	3	2	1	3
1	1900.0	4	1200.0	2.0	2	1	3	2	3	3
1	1900.0	4	2000.0	2.0	2	1	3	2	3	3
2	1901.0	3		2.0	2	1	3	3	3	3
1	1902.0	4	1850.0	2.0	2	1	3	2	3	5
2	1903.0	3	1300.0	2.0	2	1	3	2	1	3
1	1903.0	3	3000.0	2.0	2	1	3	2	1	3
2	1903.0	3	1417.0	2.0	2	1	3	2	3	3
2	1903.0	3	1154.0		2	1	3	3	3	3
2	1904.0	3	1200.0	2.0	2	1	3	2	2	3
1	1904.0	3	965.0	4.0	2	1	3	2	2	3
2	1904.0	3	1504.0		2	1	3	3	3	5
4	1908.0	4	1240.0		2		3	2	3	3
2	1909.0	4			2	1	3	2	3	3
1	1909.0	4	1730.0	2.0	2	1	3	3	3	3
3	1910.0	3	1620.0	2.0	2	1	3	3	3	5
3	1911.0	4	1652.0	2.0	2	1	3	3	3	5
1	1914.0	3			2		3		3	
2	1914.0	3	2210.0		2	1	3	2	3	3
3	1915.0	3	2822.0	2.0	2	1	3	3	3	3
1	1915.0	4	1000.0	4.0	2	1	3	3	3	3
1	1918.0	3	2300.0	2.0	1	2	3	3	3	6
1	1920.0	3	2122.0	2.0	2	1	3	2	3	3
1	1921.0	1			2	1	3		3	2
1	1923.0	4	885.0	4.0	2	1	3	2	3	4
1	1924.0	4	2365.0	4.0	2	1	3	2	1	4
1	1926.0	4	860.0	4.0	2	1	3	2	2	2
1	1926.0	4	884.0	4.0	2	1	3	2	2	2
3	1927.0	4	1770.0	2.0	2	1	3	3	2	5
1	1927.0	4	1508.0		2	1	3	2	1	4
2	1927.0	4	2663.0	4.0	1	2	3	2	2	5
2	1927.0	4	1330.0	4.0	2	1	3	3	3	5
1	1928.0	4	2678.0	4.0	2	2	3	2	3	4
2	1928.0	4	2220.0	2.0	2	2	3	2	2	5
1	1928.0	4	860.0	4.0	2	1	3	2	2	2
2	1928.0	4	2250.0	2.0	2	1	3	2	1	3
3	1931.0	4	1365.0	4.0	2	1	3	3	3	4
3	1931.0	4	1450.0	4.0	1	1	3	3	3	4
2	1931.0	4	1500.0	4.0	2	1	3	3	3	2
2	1937.0	4	1690.0	4.0	1	2	3	3	2	6
1	1939.0	4	1800.0	4.0	2	2	3	2	3	5
1	1945.0	4	1060.0	4.0	2	2	3	2	2	6
1	1945.0	3	840.0	2.0	2	1	3	2	2	3
1	1945.0	4	1710.0	2.0	1	2	3	2	2	6
3	1945.0	4	2160.0	2.0	2	1	3	3	3	5
4	1945.0	4			2	1	3	2	1	4
4	1945.0	3			2	1	3	2	3	3
2	1950.0	4	1320.0	2.0	2	1	3	2	2	3
2	1951.0	4	900.0	4.0	2	1	3	2	3	6
2	1951.0	4	2423.0	4.0	2	2	3	3	3	6
2	1951.0	4	1031.0	4.0	2	1	3	3	3	5
1	1955.0	4	2300.0	4.0	1	2	3	3	3	6
3	1955.0	4	804.0		2	1	3		3	3
3	1959.0	4	1700.0	2.0	2	1	3	3	3	6
2	1959.0	4	1000.0	6.0	2	1	3	3	3	4
1	1961.0	4	980.0	4.0	2	2	3	2	2	6
2	1962.0	4	2213.0	4.0	2	2	3	3	3	6
1	1969.0	4	870.0	6.0	2	1	3	2	3	4
3	1975.0	4	3756.0	6.0	2	1	3	3	3	4
2	1978.0	4	950.0	6.0	2	1	3	3	3	4
3	1982.0	4			2				3	
1	1986.0	4			2				3	
2		4		2.0	1	1	1	1	1	1
1		4		2.0	1	1	1	1	1	1
1		2		1.0	1	1	1		1	1
1		4		2.0	1	1	1	1	1	1
2		4		2.0	1	1	1		1	1
1		4		2.0	1	1	1	2	1	1
1		2		1.0	1	1	2	1	1	2
2		4		2.0	1	1	2	1	1	2
1		2		1.0	1	2	1		1	1
1		4		2.0	1	1	1	2	1	1
1		3		2.0	1	2	1		1	1
2		4		2.0	1	1	1	2	1	1
1		4		2.0	1	1	1		1	1
1		3		2.0	1	1	1		1	1
1		4		2.0	1	1	2	2	2	2
2		3		2.0	1	1	2	2		3
1		3		2.0	1	1	2	1	1	3
1		4		2.0	1	1	1	2	1	1
1		4		2.0	1	1	1	2	1	1
2		3		2.0		1	2			3
2		4				1	3	3	3	2
1		4		4.0	2	1	1	1	1	1
3		3		2.0	2		3			3
2		3		2.0	2		3			3
1		3		2.0	2	1	3		3	3
2		3		2.0	2	1	3	2	1	3
1		3		2.0	2	1	3	2	3	3
1		4		2.0	2	1	3	2		2
2		4		2.0	2	1	3	2	1	4
1		4		2.0	2	1	2	2	3	3
2		3		2.0	2	1	3	2	1	3
3		3		2.0	2	1	3	3	3	3
2		4			2	1	2	2	3	3
3		4		2.0	2	1	2	1	3	3
1		4		2.0	2	1	3	2	3	3
2		4		2.0	2	1	2	2	3	3
2		3		2.0	2	1	3	2	1	3
1		4		2.0	2	1	3	2	3	3
1		2		1.0	1	1	1	1	1	1
2		4		2.0	2	1	3	2	3	3
2		4		2.0	2	1	2	2	3	3
2		4		2.0	2	1	3	3	3	3
3		4		2.0	2	1	3	3	3	2
2		4		2.0	2	1	3	3	3	4
1		3		2.0	2	2	3	3	3	3
2		3			2	1	3		3	3
2		3		2.0	2	1	3	2	1	3
1		4		2.0	2	1	3	2	3	3
1		4		2.0	2	1	3	2	3	3
2		3		2.0	2	1	3	3	3	3
1		4		2.0	2	1	3	2	3	5
2		3		2.0	2	1	3	2	1	3
1		3		2.0	2	1	3	2	1	3
2		3		2.0	2	1	3	2	3	3
2		3			2	1	3	3	3	3
2		3		2.0	2	1	3	2	2	3
1		3		4.0	2	1	3	2	2	3
2		3			2	1	3	3	3	5
4		4			2		3	2	3	3
2		4			2	1	3	2	3	3
1		4		2.0	2	1	3	3	3	3
3		3		2.0	2	1	3	3	3	5
3		4		2.0	2	1	3	3	3	5
1		3			2		3		3	
2		3			2	1	3	2	3	3
3		3		2.0	2	1	3	3	3	3
1		4		4.0	2	1	3	3	3	3
1		3		2.0	1	2	3	3	3	6
1		3		2.0	2	1	3	2	3	3
1		1			2	1	3		3	2
1		4		4.0	2	1	3	2	3	4
1		4		4.0	2	1	3	2	1	4
1		4		4.0	2	1	3	2	2	2
1		4		4.0	2	1	3	2	2	2
3		4		2.0	2	1	3	3	2	5
1		4			2	1	3	2	1	4
2		4		4.0	1	2	3	2	2	5
2		4		4.0	2	1	3	3	3	5
1		4		4.0	2	2	3	2	3	4
2		4		2.0	2	2	3	2	2	5
1		4		4.0	2	1	3	2	2	2
2		4		2.0	2	1	3	2	1	3
3		4		4.0	2	1	3	3	3	4
3		4		4.0	1	1	3	3	3	4
2		4		4.0	2	1	3	3	3	2
2		4		4.0	1	2	3	3	2	6
1		4		4.0	2	2	3	2	3	5
1		4		4.0	2	2	3	2	2	6
1		3		2.0	2	1	3	2	2	3
1		4		2.0	1	2	3	2	2	6
3		4		2.0	2	1	3	3	3	5
4		4			2	1	3	2	1	4
4		3			2	1	3	2	3	3
2		4		2.0	2	1	3	2	2	3
2		4		4.0	2	1	3	2	3	6
2		4		4.0	2	2	3	3	3	6
2		4		4.0	2	1	3	3	3	5
1		4		4.0	1	2	3	3	3	6
3		4			2	1	3		3	3
3		4		2.0	2	1	3	3	3	6
2		4		6.0	2	1	3	3	3	4
1		4		4.0	2	2	3	2	2	6
2		4		4.0	2	2	3	3	3	6
1		4		6.0	2	1	3	2	3	4
3		4		6.0	2	1	3	3	3	4
2		4		6.0	2	1	3	3	3	4
3		4			2				3	
1		4			2				3	
