cylinders	weight	acceleration	model_year	car_name	mpg	origin	horsepower	displacement
8	4746.0	12.0	71	ford country squire (sw)	13.0	1	170.0	400.0
8	5140.0	12.0	71	pontiac safari (sw)	13.0	1	175.0	400.0
6	2962.0	13.5	71	amc hornet sportabout (sw)	18.0	1	110.0	258.0
4	2408.0	19.0	71	chevrolet vega (sw)	22.0	1	72.0	140.0
6	3282.0	15.0	71	pontiac firebird	19.0	1	100.0	250.0
6	3139.0	14.5	71	ford mustang	18.0	1	88.0	250.0
4	2220.0	14.0	71	mercury capri 2000	23.0	1	86.0	122.0
4	2123.0	14.0	71	opel 1900	28.0	2	90.0	116.0
4	2074.0	19.5	71	peugeot 304	30.0	2	70.0	79.0
4	2065.0	14.5	71	fiat 124b	30.0	2	76.0	88.0
4	1773.0	19.0	71	toyota corolla 1200	31.0	3	65.0	71.0
4	1613.0	18.0	71	datsun 1200	35.0	3	69.0	72.0
4	1834.0	19.0	71	volkswagen model 111	27.0	2	60.0	97.0
4	1955.0	20.5	71	plymouth cricket	26.0	1	70.0	91.0
4	2278.0	15.5	72	toyota corona hardtop	24.0	3	95.0	113.0
4	2126.0	17.0	72	dodge colt hardtop	25.0	1	80.0	97.5
4	2254.0	23.5	72	volkswagen type 3	23.0	2	54.0	97.0
4	2408.0	19.5	72	chevrolet vega	20.0	1	90.0	140.0
4	2226.0	16.5	72	ford pinto runabout	21.0	1	86.0	122.0
8	4274.0	12.0	72	chevrolet impala	14.0	1	220.0	454.0
8	4385.0	12.0	72	pontiac catalina	14.0	1	225.0	455.0
8	4135.0	13.5	72	plymouth fury iii	14.0	1	215.0	440.0
8	4129.0	13.0	72	ford galaxie 500	15.0	1	198.0	429.0
8	3672.0	11.5	72	amc ambassador sst	17.0	1	150.0	304.0
8	4633.0	11.0	72	mercury marquis	11.0	1	208.0	429.0
8	4502.0	13.5	72	buick lesabre custom	13.0	1	155.0	350.0
8	4456.0	13.5	72	oldsmobile delta 88 royale	12.0	1	160.0	350.0
8	4422.0	12.5	72	chrysler newport royal	13.0	1	190.0	400.0
3	2330.0	13.5	72	mazda rx2 coupe	19.0	3	97.0	70.0
8	3892.0	12.5	72	amc matador (sw)	15.0	1	150.0	304.0
8	4098.0	14.0	72	chevrolet chevelle concours (sw)	13.0	1	130.0	307.0
8	4294.0	16.0	72	ford gran torino (sw)	13.0	1	140.0	302.0
8	4077.0	14.0	72	plymouth satellite custom (sw)	14.0	1	150.0	318.0
4	2933.0	14.5	72	volvo 145e (sw)	18.0	2	112.0	121.0
4	2511.0	18.0	72	volkswagen 411 (sw)	22.0	2	76.0	121.0
4	2979.0	19.5	72	peugeot 504 (sw)	21.0	2	87.0	120.0
4	2189.0	18.0	72	renault 12 (sw)	26.0	2	69.0	96.0
4	2395.0	16.0	72	ford pinto (sw)	22.0	1	86.0	122.0
4	2288.0	17.0	72	datsun 510 (sw)	28.0	3	92.0	97.0
4	2506.0	14.5	72	toyouta corona mark ii (sw)	23.0	3	97.0	120.0
4	2164.0	15.0	72	dodge colt (sw)	28.0	1	80.0	98.0
4	2100.0	16.5	72	toyota corolla 1600 (sw)	27.0	3	88.0	97.0
8	4100.0	13.0	73	buick century 350	13.0	1	175.0	350.0
8	3672.0	11.5	73	amc matador	18.0	1	100.0	232.0
8	3988.0	13.0	73	chevrolet malibu	13.0	1	145.0	350.0
8	4042.0	14.5	73	ford gran torino	14.0	1	137.0	302.0
8	3777.0	12.5	73	dodge coronet custom	15.0	1	150.0	318.0
8	4952.0	11.5	73	mercury marquis brougham	12.0	1	198.0	429.0
8	4464.0	12.0	73	chevrolet caprice classic	13.0	1	150.0	400.0
8	4363.0	13.0	73	ford ltd	13.0	1	158.0	351.0
8	4237.0	14.5	73	plymouth fury gran sedan	14.0	1	150.0	318.0
8	4735.0	11.0	73	chrysler new yorker brougham	13.0	1	215.0	440.0
8	4951.0	11.0	73	buick electra 225 custom	12.0	1	225.0	455.0
8	3821.0	11.0	73	amc ambassador brougham	13.0	1	175.0	360.0
6	3121.0	16.5	73	plymouth valiant	18.0	1	105.0	225.0
6	3278.0	18.0	73	chevrolet nova custom	16.0	1	100.0	250.0
6	2945.0	16.0	73	amc hornet	18.0	1	97.0	199.0
6	3021.0	16.5	73	ford maverick	21.0	1	85.0	200.0
6	2904.0	16.0	73	plymouth duster	22.0	1	95.0	198.0
4	1950.0	21.0	73	volkswagen super beetle	26.0	2	46.0	97.0
8	4997.0	14.0	73	chevrolet impala	14.0	1	220.0	454.0
8	4906.0	12.5	73	ford country	12.0	1	167.0	400.0
8	4654.0	13.0	73	plymouth custom suburb	13.0	1	170.0	360.0
8	4499.0	12.5	73	oldsmobile vista cruiser	12.0	1	180.0	350.0
6	2789.0	15.0	73	amc gremlin	21.0	1	90.0	199.0
4	2279.0	19.0	73	toyota carina	20.0	3	88.0	97.0
4	2401.0	19.5	73	chevrolet vega	20.0	1	90.0	140.0
4	2379.0	16.5	73	datsun 610	22.0	3	94.0	108.0
3	2124.0	13.5	73	maxda rx3	18.0	3	90.0	70.0
4	2310.0	18.5	73	ford pinto	25.0	1		98.0
6	2472.0	14.0	73	mercury capri v6	21.0	1	107.0	155.0
4	2265.0	15.5	73	fiat 124 sport coupe	26.0	2	90.0	98.0
8	4082.0	13.0	73	chevrolet monte carlo s	15.0	1	145.0	350.0
8	4278.0	9.5	73	pontiac grand prix	16.0	1	230.0	400.0
4	1867.0	19.5	73	fiat 128	29.0	2	49.0	68.0
4	2158.0	15.5	73	opel manta	24.0	2	75.0	116.0
4	2582.0	14.0	73	audi 100ls	20.0	2	91.0	114.0
4	2868.0	15.5	73	volvo 144ea	19.0	2	112.0	121.0
8	3399.0	11.0	73	dodge dart custom	15.0	1	150.0	318.0
4	2660.0	14.0	73	saab 99le	24.0	2	110.0	121.0
6	2807.0	13.5	73	toyota mark ii	20.0	3	122.0	156.0
8	3664.0	11.0	73	oldsmobile omega	11.0	1	180.0	350.0
6	3102.0	16.5	74	plymouth duster	22.0	1	95.0	198.0
6	2875.0	17.0	74	ford maverick	21.0	1	85.0	200.0
6	2901.0	16.0	74	amc hornet	18.0	1	97.0	199.0
6	3336.0	17.0	74	chevrolet nova	15.0	1	100.0	250.0
4	1950.0	19.0	74	datsun b210	31.0	3	67.0	79.0
4	2451.0	16.5	74	ford pinto	25.0	1		98.0
4	1836.0	21.0	74	toyota corolla 1200	31.0	3	65.0	71.0
4	2542.0	17.0	74	chevrolet vega	20.0	1	90.0	140.0
6	3781.0	17.0	74	chevrolet chevelle malibu classic	16.0	1	100.0	250.0
6	3632.0	18.0	74	amc matador	18.0	1	100.0	232.0
6	3613.0	16.5	74	plymouth satellite sebring	18.0	1	105.0	225.0
8	4141.0	14.0	74	ford gran torino	14.0	1	137.0	302.0
8	4699.0	14.5	74	buick century luxus (sw)	13.0	1	150.0	350.0
8	4457.0	13.5	74	dodge coronet custom (sw)	14.0	1	150.0	318.0
8	4638.0	16.0	74	ford gran torino (sw)	13.0	1	140.0	302.0
8	4257.0	15.5	74	amc matador (sw)	15.0	1	150.0	304.0
4	2219.0	16.5	74	audi fox	29.0	2	83.0	98.0
4	1963.0	15.5	74	volkswagen dasher	26.0	2	67.0	79.0
4	2300.0	14.5	74	opel manta	24.0	2	75.0	116.0
4	1649.0	16.5	74	toyota corona	25.0	3	95.0	113.0
4	2003.0	19.0	74	datsun 710	32.0	3	61.0	83.0
4	2125.0	14.5	74	dodge colt	28.0	1	75.0	90.0
4	2108.0	15.5	74	fiat 128	29.0	2	49.0	68.0
4	2246.0	14.0	74	fiat 124 tc	26.0	2	75.0	116.0
4	2489.0	15.0	74	honda civic	24.0	3	97.0	120.0
4	2391.0	15.5	74	subaru	26.0	3	93.0	108.0
4	2000.0	16.0	74	fiat x1.9	31.0	2	67.0	79.0
6	3264.0	16.0	75	plymouth valiant custom	19.0	1	95.0	225.0
6	3459.0	16.0	75	chevrolet nova	15.0	1	100.0	250.0
6	3432.0	21.0	75	mercury monarch	15.0	1	72.0	250.0
6	3158.0	19.5	75	ford maverick	21.0	1	85.0	200.0
8	4668.0	11.5	75	pontiac catalina	14.0	1	225.0	455.0
8	4440.0	14.0	75	chevrolet bel air	15.0	1	145.0	350.0
8	4498.0	14.5	75	plymouth grand fury	16.0	1	150.0	318.0
8	4657.0	13.5	75	ford ltd	13.0	1	158.0	351.0
6	3907.0	21.0	75	buick century	17.0	1	110.0	231.0
6	3897.0	18.5	75	chevroelt chevelle malibu	16.0	1	105.0	250.0
6	3730.0	19.0	75	amc matador	18.0	1	100.0	232.0
6	3785.0	19.0	75	plymouth fury	18.0	1	95.0	225.0
6	3039.0	15.0	75	buick skyhawk	21.0	1	110.0	231.0
8	3221.0	13.5	75	chevrolet monza 2+2	20.0	1	110.0	262.0
8	3169.0	12.0	75	ford mustang ii	13.0	1	129.0	302.0
4	2171.0	16.0	75	toyota corolla	29.0	3	75.0	97.0
4	2639.0	17.0	75	ford pinto	25.0	1		98.0
6	2914.0	16.0	75	amc gremlin	21.0	1	90.0	199.0
4	2592.0	18.5	75	pontiac astro	23.0	1	78.0	140.0
4	2702.0	13.5	75	toyota corona	25.0	3	95.0	113.0
4	2223.0	16.5	75	volkswagen dasher	26.0	2	67.0	79.0
4	2545.0	17.0	75	datsun 710	32.0	3	61.0	83.0
6	2984.0	14.5	75	ford pinto	25.0	1		98.0
4	1937.0	14.0	75	volkswagen rabbit	29.0	2	70.0	90.0
6	3211.0	17.0	75	amc pacer	19.0	1	90.0	232.0
4	2694.0	15.0	75	audi 100ls	20.0	2	91.0	114.0
4	2957.0	17.0	75	peugeot 504	25.0	2	87.0	110.0
4	2945.0	14.5	75	volvo 244dl	22.0	2	98.0	121.0
4	2671.0	13.5	75	saab 99le	24.0	2	110.0	121.0
4	1795.0	17.5	75	honda civic cvcc	33.0	3	53.0	91.0
4	2464.0	15.5	76	fiat 131	28.0	2	86.0	107.0
4	2220.0	16.9	76	opel 1900	28.0	2	90.0	116.0
4	2572.0	14.9	76	capri ii	25.0	1	92.0	140.0
4	2255.0	17.7	76	dodge colt	28.0	1	75.0	90.0
4	2202.0	15.3	76	renault 12tl	27.0	2	83.0	101.0
8	4215.0	13.0	76	chevrolet chevelle malibu classic	16.0	1	100.0	250.0
8	4190.0	13.0	76	dodge coronet brougham	16.0	1	150.0	318.0
8	3962.0	13.9	76	amc matador	18.0	1	100.0	232.0
8	4215.0	12.8	76	ford gran torino	14.0	1	137.0	302.0
6	3233.0	15.4	76	plymouth valiant	18.0	1	105.0	225.0
6	3353.0	14.5	76	chevrolet nova	15.0	1	100.0	250.0
6	3012.0	17.6	76	ford maverick	21.0	1	85.0	200.0
6	3085.0	17.6	76	amc hornet	18.0	1	97.0	199.0
4	2035.0	22.2	76	chevrolet chevette	29.0	1	52.0	85.0
4	2164.0	22.1	76	chevrolet woody	24.5	1	60.0	98.0
4	1937.0	14.2	76	vw rabbit	29.0	2	70.0	90.0
4	1795.0	17.4	76	honda civic	24.0	3	97.0	120.0
6	3651.0	17.7	76	dodge aspen se	20.0	1	100.0	225.0
6	3574.0	21.0	76	ford granada ghia	18.0	1	78.0	250.0
6	3645.0	16.2	76	pontiac ventura sj	18.5	1	110.0	250.0
6	3193.0	17.8	76	amc pacer d/l	17.5	1	95.0	258.0
4	1825.0	12.2	76	volkswagen rabbit	29.0	2	70.0	90.0
4	1990.0	17.0	76	datsun b-210	32.0	3	70.0	85.0
4	2155.0	16.4	76	toyota corolla	29.0	3	75.0	97.0
4	2565.0	13.6	76	ford pinto	25.0	1		98.0
4	3150.0	15.7	76	volvo 245	20.0	2	102.0	130.0
8	3940.0	13.2	76	plymouth volare premier v8	13.0	1	150.0	318.0
4	3270.0	21.9	76	peugeot 504	25.0	2	87.0	110.0
6	2930.0	15.5	76	toyota mark ii	20.0	3	122.0	156.0
6	3820.0	16.7	76	mercedes-benz 280s	16.5	2	120.0	168.0
8	4380.0	12.1	76	cadillac seville	16.5	1	180.0	350.0
8	4055.0	12.0	76	chevy c10	13.0	1	145.0	350.0
8	3870.0	15.0	76	ford f108	13.0	1	130.0	302.0
8	3755.0	14.0	76	dodge d100	13.0	1	150.0	318.0
4	2045.0	18.5	77	honda accord cvcc	31.5	3	68.0	98.0
4	2155.0	14.8	77	buick opel isuzu deluxe	30.0	1	80.0	111.0
4	1825.0	18.6	77	renault 5 gtl	36.0	2	58.0	79.0
4	2300.0	15.5	77	plymouth arrow gs	25.5	1	96.0	122.0
4	1945.0	16.8	77	datsun f-10 hatchback	33.5	3	70.0	85.0
8	3880.0	12.5	77	chevrolet caprice classic	13.0	1	150.0	400.0
8	4060.0	19.0	77	oldsmobile cutlass supreme	17.0	1	110.0	260.0
8	4140.0	13.7	77	dodge monaco brougham	15.5	1	145.0	318.0
8	4295.0	14.9	77	mercury cougar brougham	15.0	1	130.0	302.0
6	3520.0	16.4	77	chevrolet concours	17.5	1	110.0	250.0
6	3425.0	16.9	77	buick skylark	20.5	1	105.0	231.0
6	3630.0	17.7	77	plymouth volare custom	19.0	1	100.0	225.0
6	3525.0	19.0	77	ford granada	18.5	1	98.0	250.0
8	4220.0	11.1	77	pontiac grand prix lj	16.0	1	180.0	400.0
8	4165.0	11.4	77	chevrolet monte carlo landau	15.5	1	170.0	350.0
8	4325.0	12.2	77	chrysler cordoba	15.5	1	190.0	400.0
8	4335.0	14.5	77	ford thunderbird	16.0	1	149.0	351.0
4	1940.0	14.5	77	volkswagen rabbit custom	29.0	2	78.0	97.0
4	2740.0	16.0	77	pontiac sunbird coupe	24.5	1	88.0	151.0
4	2265.0	18.2	77	toyota corolla liftback	26.0	3	75.0	97.0
4	2755.0	15.8	77	ford mustang ii 2+2	25.5	1	89.0	140.0
4	2051.0	17.0	77	chevrolet chevette	29.0	1	52.0	85.0
4	2075.0	15.9	77	dodge colt m/m	33.5	1	83.0	98.0
4	1985.0	16.4	77	subaru dl	30.0	3	67.0	97.0
4	2190.0	14.1	77	volkswagen dasher	26.0	2	67.0	79.0
6	2815.0	14.5	77	datsun 810	22.0	3	97.0	146.0
4	2600.0	12.8	77	bmw 320i	21.5	2	110.0	121.0
3	2720.0	13.5	77	mazda rx-4	21.5	3	110.0	80.0
4	1985.0	21.5	78	volkswagen rabbit custom diesel	43.1	2	48.0	90.0
4	1800.0	14.4	78	ford fiesta	36.1	1	66.0	98.0
4	1985.0	19.4	78	mazda glc deluxe	32.8	3	52.0	78.0
4	2070.0	18.6	78	datsun b210 gx	39.4	3	70.0	85.0
4	1800.0	16.4	78	honda civic cvcc	33.0	3	53.0	91.0
8	3365.0	15.5	78	oldsmobile cutlass salon brougham	19.9	1	110.0	260.0
8	3735.0	13.2	78	dodge diplomat	19.4	1	140.0	318.0
8	3570.0	12.8	78	mercury monarch ghia	20.2	1	139.0	302.0
6	3535.0	19.2	78	pontiac phoenix lj	19.2	1	105.0	231.0
6	3155.0	18.2	78	chevrolet malibu	13.0	1	145.0	350.0
6	2965.0	15.8	78	ford fairmont (auto)	20.2	1	85.0	200.0
4	2720.0	15.4	78	ford fairmont (man)	25.1	1	88.0	140.0
6	3430.0	17.2	78	plymouth volare	20.5	1	100.0	225.0
6	3210.0	17.2	78	amc concord	19.4	1	90.0	232.0
6	3380.0	15.8	78	buick century special	20.6	1	105.0	231.0
6	3070.0	16.7	78	mercury zephyr	20.8	1	85.0	200.0
6	3620.0	18.7	78	dodge aspen	18.6	1	110.0	225.0
6	3410.0	15.1	78	amc concord d/l	18.1	1	120.0	258.0
8	3425.0	13.2	78	chevrolet monte carlo landau	15.5	1	170.0	350.0
6	3445.0	13.4	78	buick regal sport coupe (turbo)	17.7	1	165.0	231.0
8	3205.0	11.2	78	ford futura	18.1	1	139.0	302.0
8	4080.0	13.7	78	dodge magnum xe	17.5	1	140.0	318.0
4	2155.0	16.5	78	chevrolet chevette	29.0	1	52.0	85.0
4	2560.0	14.2	78	toyota corona	25.0	3	95.0	113.0
4	2300.0	14.7	78	datsun 510	27.2	3	97.0	119.0
4	2230.0	14.5	78	dodge omni	30.9	1	75.0	105.0
4	2515.0	14.8	78	toyota celica gt liftback	21.1	3	95.0	134.0
4	2745.0	16.7	78	plymouth sapporo	23.2	1	105.0	156.0
4	2855.0	17.6	78	oldsmobile starfire sx	23.8	1	85.0	151.0
4	2405.0	14.9	78	datsun 200-sx	23.9	3	97.0	119.0
5	2830.0	15.9	78	audi 5000	20.3	2	103.0	131.0
6	3140.0	13.6	78	volvo 264gl	17.0	2	125.0	163.0
4	2795.0	15.7	78	saab 99gle	21.6	2	115.0	121.0
6	3410.0	15.8	78	peugeot 604sl	16.2	2	133.0	163.0
4	1990.0	14.9	78	volkswagen scirocco	31.5	2	71.0	89.0
4	2135.0	16.6	78	honda accord lx	29.5	3	68.0	98.0
6	3245.0	15.4	79	pontiac lemans v6	21.5	1	115.0	231.0
6	2990.0	18.2	79	mercury zephyr 6	19.8	1	85.0	200.0
4	2890.0	17.3	79	ford fairmont 4	22.3	1	88.0	140.0
6	3265.0	18.2	79	amc concord dl 6	20.2	1	90.0	232.0
6	3360.0	16.6	79	dodge aspen 6	20.6	1	110.0	225.0
8	3840.0	15.4	79	chevrolet caprice classic	13.0	1	150.0	400.0
8	3725.0	13.4	79	ford ltd landau	17.6	1	129.0	302.0
8	3955.0	13.2	79	mercury grand marquis	16.5	1	138.0	351.0
8	3830.0	15.2	79	dodge st. regis	18.2	1	135.0	318.0
8	4360.0	14.9	79	buick estate wagon (sw)	14.0	1	225.0	455.0
8	4054.0	14.3	79	ford country squire (sw)	13.0	1	170.0	400.0
8	3605.0	15.0	79	chevrolet malibu classic (sw)	19.2	1	125.0	267.0
8	3940.0	13.0	79	chrysler lebaron town @ country (sw)	18.5	1	150.0	360.0
4	1925.0	14.0	79	vw rabbit custom	31.9	2	71.0	89.0
4	1975.0	15.2	79	maxda glc deluxe	34.1	3	65.0	86.0
4	1915.0	14.4	79	dodge colt hatchback custom	35.7	1	80.0	98.0
4	2670.0	15.0	79	amc spirit dl	27.4	1	80.0	121.0
5	3530.0	20.1	79	mercedes benz 300d	25.4	2	77.0	183.0
8	3900.0	17.4	79	cadillac eldorado	23.0	1	125.0	350.0
4	3190.0	24.8	79	peugeot 504	25.0	2	87.0	110.0
8	3420.0	22.2	79	oldsmobile cutlass salon brougham	19.9	1	110.0	260.0
4	2200.0	13.2	79	plymouth horizon	34.2	1	70.0	105.0
4	2150.0	14.9	79	plymouth horizon tc3	34.5	1	70.0	105.0
4	2020.0	19.2	79	datsun 210	31.8	3	65.0	85.0
4	2130.0	14.7	79	fiat strada custom	37.3	2	69.0	91.0
4	2670.0	16.0	79	buick skylark limited	28.4	1	90.0	151.0
6	2595.0	11.3	79	chevrolet citation	28.8	1	115.0	173.0
6	2700.0	12.9	79	oldsmobile omega brougham	26.8	1	115.0	173.0
4	2556.0	13.2	79	pontiac phoenix	33.5	1	90.0	151.0
4	2144.0	14.7	80	vw rabbit	29.0	2	70.0	90.0
4	1968.0	18.8	80	toyota corolla tercel	38.1	3	60.0	89.0
4	2120.0	15.5	80	chevrolet chevette	29.0	1	52.0	85.0
4	2019.0	16.4	80	datsun 310	37.2	3	65.0	86.0
4	2678.0	16.5	80	chevrolet citation	28.8	1	115.0	173.0
4	2870.0	18.1	80	ford fairmont	26.4	1	88.0	140.0
4	3003.0	20.1	80	amc concord	19.4	1	90.0	232.0
6	3381.0	18.7	80	dodge aspen	18.6	1	110.0	225.0
4	2188.0	15.8	80	audi 4000	34.3	2	78.0	97.0
4	2711.0	15.5	80	toyota corona liftback	29.8	3	90.0	134.0
4	2542.0	17.5	80	mazda 626	31.3	3	75.0	120.0
4	2434.0	15.0	80	datsun 510 hatchback	37.0	3	92.0	119.0
4	2265.0	15.2	80	toyota corolla	29.0	3	75.0	97.0
4	2110.0	17.9	80	mazda glc	46.6	3	65.0	86.0
4	2800.0	14.4	80	dodge colt	28.0	1	75.0	90.0
4	2110.0	19.2	80	datsun 210	31.8	3	65.0	85.0
4	2085.0	21.7	80	vw rabbit c (diesel)	44.3	2	48.0	90.0
4	2335.0	23.7	80	vw dasher (diesel)	43.4	2	48.0	90.0
5	2950.0	19.9	80	audi 5000s (diesel)	36.4	2	67.0	121.0
4	3250.0	21.8	80	mercedes-benz 240d	30.0	2	67.0	146.0
4	1850.0	13.8	80	honda civic 1500 gl	44.6	3	67.0	91.0
4	1835.0	17.3	80	renault lecar deluxe	40.9	2		85.0
4	2145.0	18.0	80	subaru dl	30.0	3	67.0	97.0
4	1845.0	15.3	80	vokswagen rabbit	29.8	2	62.0	89.0
6	2910.0	11.4	80	datsun 280-zx	32.7	3	132.0	168.0
3	2420.0	12.5	80	mazda rx-7 gs	23.7	3	100.0	70.0
4	2500.0	15.1	80	triumph tr7 coupe	35.0	2	88.0	122.0
4	2905.0	14.3	80	ford mustang cobra	23.6	1		140.0
4	2290.0	17.0	80	honda accord	32.4	3	72.0	107.0
4	2490.0	15.7	81	plymouth reliant	27.2	1	84.0	135.0
4	2635.0	16.4	81	buick skylark	20.5	1	105.0	231.0
4	2620.0	14.4	81	dodge aries wagon (sw)	25.8	1	92.0	156.0
6	2725.0	12.6	81	chevrolet citation	28.8	1	115.0	173.0
4	2385.0	12.9	81	plymouth reliant	27.2	1	84.0	135.0
4	1755.0	16.9	81	toyota starlet	39.1	3	58.0	79.0
4	1875.0	16.4	81	plymouth champ	39.0	1	64.0	86.0
4	1760.0	16.1	81	honda civic 1300	35.1	3	60.0	81.0
4	2065.0	17.8	81	subaru	26.0	3	93.0	108.0
4	1975.0	19.4	81	datsun 210 mpg	37.0	3	65.0	85.0
4	2050.0	17.3	81	toyota tercel	37.7	3	62.0	89.0
4	1985.0	16.0	81	mazda glc 4	34.1	3	68.0	91.0
4	2215.0	14.9	81	plymouth horizon 4	34.7	1	63.0	105.0
4	2045.0	16.2	81	ford escort 4w	34.4	1	65.0	98.0
4	2380.0	20.7	81	ford escort 2h	29.9	1	65.0	98.0
4	2190.0	14.2	81	volkswagen jetta	33.0	2	74.0	105.0
4	2320.0	15.8	81	renault 18i	34.5	2		100.0
4	2210.0	14.4	81	honda prelude	33.7	3	75.0	107.0
4	2350.0	16.8	81	toyota corolla	29.0	3	75.0	97.0
4	2615.0	14.8	81	datsun 200sx	32.9	3	100.0	119.0
4	2635.0	18.3	81	mazda 626	31.3	3	75.0	120.0
4	3230.0	20.4	81	peugeot 505s turbo diesel	28.1	2	80.0	141.0
6	3160.0	19.6	81	volvo diesel	30.7	2	76.0	145.0
6	2900.0	12.6	81	toyota cressida	25.4	3	116.0	168.0
6	2930.0	13.8	81	datsun 810 maxima	24.2	3	120.0	146.0
6	3415.0	15.8	81	buick century	17.0	1	110.0	231.0
8	3725.0	19.0	81	oldsmobile cutlass ls	26.6	1	105.0	350.0
6	3060.0	17.1	81	ford granada gl	20.2	1	88.0	200.0
6	3465.0	16.6	81	chrysler lebaron salon	17.6	1	85.0	225.0
4	2605.0	19.6	82	chevrolet cavalier	28.0	1	88.0	112.0
4	2640.0	18.6	82	chevrolet cavalier wagon	27.0	1	88.0	112.0
4	2395.0	18.0	82	chevrolet cavalier 2-door	34.0	1	88.0	112.0
4	2575.0	16.2	82	pontiac j2000 se hatchback	31.0	1	85.0	112.0
4	2525.0	16.0	82	dodge aries se	29.0	1	84.0	135.0
4	2735.0	18.0	82	pontiac phoenix	33.5	1	90.0	151.0
4	2865.0	16.4	82	ford fairmont futura	24.0	1	92.0	140.0
4	3035.0	20.5	82	amc concord dl	23.0	1		151.0
4	1980.0	15.3	82	volkswagen rabbit l	36.0	2	74.0	105.0
4	2025.0	18.2	82	mazda glc custom l	37.0	3	68.0	91.0
4	1970.0	17.6	82	mazda glc custom	31.0	3	68.0	91.0
4	2125.0	14.7	82	plymouth horizon miser	38.0	1	63.0	105.0
4	2125.0	17.3	82	mercury lynx l	36.0	1	70.0	98.0
4	2160.0	14.5	82	nissan stanza xe	36.0	3	88.0	120.0
4	2205.0	14.5	82	honda accord	32.4	3	72.0	107.0
4	2245.0	16.9	82	toyota corolla	29.0	3	75.0	97.0
4	1965.0	15.0	82	honda civic	24.0	3	97.0	120.0
4	1965.0	15.7	82	honda civic (auto)	32.0	3	67.0	91.0
4	1995.0	16.2	82	datsun 310 gx	38.0	3	67.0	91.0
6	2945.0	16.4	82	buick century limited	25.0	1	110.0	181.0
6	3015.0	17.0	82	oldsmobile cutlass ciera (diesel)	38.0	1	85.0	262.0
4	2585.0	14.5	82	chrysler lebaron medallion	26.0	1	92.0	156.0
6	2835.0	14.7	82	ford granada l	22.0	1	112.0	232.0
